name,time/op (ns/op),±
Gol/1_workers-8,1.73308E+10,10%
Gol/2_workers-8,2.22557E+10,23%
Gol/3_workers-8,3.53992E+10,71%
Gol/4_workers-8,4.22425E+10,34%
Gol/5_workers-8,2.20177E+10,17%
Gol/6_workers-8,1.96759E+10,11%
Gol/7_workers-8,2.07493E+10,41%
Gol/8_workers-8,2.03270E+10,16%
Gol/9_workers-8,2.02471E+10,13%
Gol/10_workers-8,2.09138E+10,39%
Gol/11_workers-8,1.71968E+10,6%
Gol/12_workers-8,1.70764E+10,7%
Gol/13_workers-8,1.75313E+10,6%
Gol/14_workers-8,1.95869E+10,22%
Gol/15_workers-8,1.71114E+10,5%
Gol/16_workers-8,1.74761E+10,8%
