name,time/op (ns/op),±
Gol/512x512x1000-1-16,1.23433E+10,0%
Gol/512x512x1000-2-16,9.90047E+09,0%
Gol/512x512x1000-3-16,9.00593E+09,0%
Gol/512x512x1000-4-16,8.39146E+09,0%
Gol/512x512x1000-5-16,8.13091E+09,0%
Gol/512x512x1000-6-16,7.76822E+09,0%
Gol/512x512x1000-7-16,7.50825E+09,0%
Gol/512x512x1000-8-16,7.30733E+09,0%
Gol/512x512x1000-9-16,7.22657E+09,0%
Gol/512x512x1000-10-16,6.88965E+09,0%
Gol/512x512x1000-11-16,6.57295E+09,0%
Gol/512x512x1000-12-16,6.35058E+09,0%
Gol/512x512x1000-13-16,6.13569E+09,0%
Gol/512x512x1000-14-16,5.77785E+09,0%
Gol/512x512x1000-15-16,5.75895E+09,0%
Gol/512x512x1000-16-16,5.48728E+09,0%
